param,effectiveSampleSize,potentialScaleReductionFactor
q_ind_18_pop_5,2678.49,1.000
q_ind_19_pop_5,2197.31,1.001
q_ind_20_pop_5,2185.55,1.001
q_ind_21_pop_5,1466.66,1.002
q_ind_22_pop_5,50.58,1.016
q_ind_23_pop_5,2515.18,1.001
q_ind_24_pop_5,3127.14,1.000
q_ind_25_pop_5,2329.41,1.000
q_ind_26_pop_5,2080.12,1.001
q_ind_27_pop_5,3164.52,1.001
q_ind_28_pop_5,3313.46,1.000
q_ind_29_pop_5,246.98,1.004
q_ind_30_pop_5,291.50,1.006
q_ind_31_pop_5,753.15,1.004
q_ind_32_pop_5,227.55,1.005
q_ind_33_pop_5,447.25,1.005
q_ind_34_pop_5,293.68,1.007
q_ind_35_pop_5,90.12,1.009
q_ind_36_pop_5,430.84,1.005
q_ind_37_pop_5,400.97,1.008
q_ind_38_pop_5,411.02,1.005
q_ind_39_pop_5,490.79,1.002
q_ind_40_pop_5,413.33,1.004
q_ind_41_pop_5,193.07,1.004
q_ind_42_pop_5,201.95,1.006
q_ind_43_pop_5,308.82,1.007
q_ind_44_pop_5,415.40,1.005
q_ind_45_pop_5,332.23,1.003
q_ind_46_pop_5,1730.32,1.000
q_ind_47_pop_5,1082.66,1.001
q_ind_48_pop_5,481.85,1.004
q_ind_49_pop_5,1012.54,1.001
q_ind_50_pop_5,1318.42,1.001
q_ind_51_pop_5,734.42,1.006
q_ind_52_pop_5,574.80,1.010
q_ind_53_pop_5,382.40,1.007
q_ind_54_pop_5,150.80,1.016
q_ind_55_pop_5,184.35,1.011
q_ind_56_pop_5,196.62,1.006
q_ind_57_pop_5,175.88,1.012
q_ind_58_pop_5,242.79,1.011
q_ind_59_pop_5,368.05,1.010
q_ind_60_pop_5,165.80,1.012
q_ind_61_pop_5,200.31,1.010
q_ind_62_pop_5,220.48,1.007
q_ind_63_pop_5,27.54,1.007
q_ind_64_pop_5,168.04,1.006
q_ind_65_pop_5,76.54,1.008
q_ind_66_pop_5,233.03,1.008
q_ind_67_pop_5,296.02,1.008
q_ind_68_pop_5,127.96,1.016
q_ind_69_pop_5,355.26,1.000
q_ind_70_pop_5,738.15,1.002
q_ind_71_pop_5,1240.88,1.001
q_ind_72_pop_5,760.48,1.001
q_ind_73_pop_5,423.59,1.000
q_ind_74_pop_5,245.98,1.005
q_ind_75_pop_5,2090.87,1.000
q_ind_76_pop_5,1621.19,1.000
q_ind_77_pop_5,1607.52,1.001
q_ind_78_pop_5,1613.03,1.003
q_ind_79_pop_5,1775.20,1.003
q_ind_80_pop_5,3599.89,1.000
q_ind_81_pop_5,3723.68,1.000
q_ind_82_pop_5,3405.89,1.000
q_ind_83_pop_5,4042.91,1.000
q_ind_84_pop_5,3844.69,1.001
q_ind_85_pop_5,3170.13,1.000
q_ind_86_pop_5,3798.81,1.001
q_ind_87_pop_5,3881.28,1.001
q_ind_88_pop_5,4051.95,1.001
